"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","VAACTY","AGRFORTFISH","PC_VA","A","2021",1.35500580061346,
"BEL","VAACTY","AGRFORTFISH","PC_VA","A","2021",0.744605233158537,"E"
"CZE","VAACTY","AGRFORTFISH","PC_VA","A","2021",2.03109674936601,
"DNK","VAACTY","AGRFORTFISH","PC_VA","A","2021",0.998084123979668,
"FIN","VAACTY","AGRFORTFISH","PC_VA","A","2021",2.64834105823505,
"FRA","VAACTY","AGRFORTFISH","PC_VA","A","2021",1.85039327454515,
"DEU","VAACTY","AGRFORTFISH","PC_VA","A","2021",0.940321313018882,"E"
"GRC","VAACTY","AGRFORTFISH","PC_VA","A","2021",4.43211317343465,"E"
"HUN","VAACTY","AGRFORTFISH","PC_VA","A","2021",3.9643673512106,"E"
"IRL","VAACTY","AGRFORTFISH","PC_VA","A","2021",1.08072783688155,
"ITA","VAACTY","AGRFORTFISH","PC_VA","A","2021",2.15231267825091,
"LUX","VAACTY","AGRFORTFISH","PC_VA","A","2021",0.214950919860132,"E"
"NLD","VAACTY","AGRFORTFISH","PC_VA","A","2021",1.73716566740628,"E"
"POL","VAACTY","AGRFORTFISH","PC_VA","A","2021",2.55662103337329,
"PRT","VAACTY","AGRFORTFISH","PC_VA","A","2021",2.52939336574031,"E"
"SVK","VAACTY","AGRFORTFISH","PC_VA","A","2021",1.95768748198952,
"ESP","VAACTY","AGRFORTFISH","PC_VA","A","2021",2.8889298328113,"E"
"SWE","VAACTY","AGRFORTFISH","PC_VA","A","2021",1.45364795796039,
"EST","VAACTY","AGRFORTFISH","PC_VA","A","2021",2.30496283711361,
"SVN","VAACTY","AGRFORTFISH","PC_VA","A","2021",1.92244746232319,
"LVA","VAACTY","AGRFORTFISH","PC_VA","A","2021",4.68619956220403,
"LTU","VAACTY","AGRFORTFISH","PC_VA","A","2021",3.70858807792724,
"AUT","VAACTY","CONSTR","PC_VA","A","2021",7.24659168547178,
"BEL","VAACTY","CONSTR","PC_VA","A","2021",5.43140252761647,"E"
"CZE","VAACTY","CONSTR","PC_VA","A","2021",5.59472686300524,
"DNK","VAACTY","CONSTR","PC_VA","A","2021",5.56300942681363,
"FIN","VAACTY","CONSTR","PC_VA","A","2021",7.72841998990409,
"FRA","VAACTY","CONSTR","PC_VA","A","2021",5.65931002376428,
"DEU","VAACTY","CONSTR","PC_VA","A","2021",5.51782424605663,"E"
