"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","EMPINDUS","AGRFORTFISH","THND_PER","A","2021",160.825,
"BEL","EMPINDUS","AGRFORTFISH","THND_PER","A","2021",45.4,
"CZE","EMPINDUS","AGRFORTFISH","THND_PER","A","2021",132.95,"B"
"DNK","EMPINDUS","AGRFORTFISH","THND_PER","A","2021",59,
"FIN","EMPINDUS","AGRFORTFISH","THND_PER","A","2021",104.7,
"FRA","EMPINDUS","AGRFORTFISH","THND_PER","A","2021",675.925,
"DEU","EMPINDUS","AGRFORTFISH","THND_PER","A","2021",517.325,
"GRC","EMPINDUS","AGRFORTFISH","THND_PER","A","2021",446.025,
"HUN","EMPINDUS","AGRFORTFISH","THND_PER","A","2021",203.9,
"IRL","EMPINDUS","AGRFORTFISH","THND_PER","A","2021",107.025,
"ITA","EMPINDUS","AGRFORTFISH","THND_PER","A","2021",913.475,
"LUX","EMPINDUS","AGRFORTFISH","THND_PER","A","2021",3.325,
"NLD","EMPINDUS","AGRFORTFISH","THND_PER","A","2021",205.1,
"POL","EMPINDUS","AGRFORTFISH","THND_PER","A","2021",1390.5,
"PRT","EMPINDUS","AGRFORTFISH","THND_PER","A","2021",130.575,
"SVK","EMPINDUS","AGRFORTFISH","THND_PER","A","2021",63.2,
"ESP","EMPINDUS","AGRFORTFISH","THND_PER","A","2021",802.65,
"SWE","EMPINDUS","AGRFORTFISH","THND_PER","A","2021",99.525,
"EST","EMPINDUS","AGRFORTFISH","THND_PER","A","2021",17.55,
"SVN","EMPINDUS","AGRFORTFISH","THND_PER","A","2021",39.175,
"LVA","EMPINDUS","AGRFORTFISH","THND_PER","A","2021",58.875,
"LTU","EMPINDUS","AGRFORTFISH","THND_PER","A","2021",72.7,
"AUT","EMPINDUS","CONSTR","THND_PER","A","2021",323.875,
"BEL","EMPINDUS","CONSTR","THND_PER","A","2021",311.875,
"CZE","EMPINDUS","CONSTR","THND_PER","A","2021",413.4,"B"
"DNK","EMPINDUS","CONSTR","THND_PER","A","2021",192.725,
"FIN","EMPINDUS","CONSTR","THND_PER","A","2021",189.1,
"FRA","EMPINDUS","CONSTR","THND_PER","A","2021",1777.475,
"DEU","EMPINDUS","CONSTR","THND_PER","A","2021",2445.6,
"GRC","EMPINDUS","CONSTR","THND_PER","A","2021",141.75,
"HUN","EMPINDUS","CONSTR","THND_PER","A","2021",375.975,
"IRL","EMPINDUS","CONSTR","THND_PER","A","2021",138.6,
"ITA","EMPINDUS","CONSTR","THND_PER","A","2021",1430.8,
